"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000168070031856655,0.603214394952172,0.933,0.919,1,"acupuncture","Klf6"
0.000186568460960227,0.354603139118781,0.339,0.185,1,"acupuncture","Coa8"
0.000254651350568584,0.392799899603958,0.25,0.113,1,"acupuncture","Scimp"
0.000278597381505028,0.331925809997679,0.322,0.167,1,"acupuncture","Rnf5"
0.000311813396080415,0.453500363515131,0.306,0.162,1,"acupuncture","AABR07027866.1"
0.000323080716283523,0.344341540520934,0.356,0.198,1,"acupuncture","Leprot"
0.000534230814208646,0.65739999774084,0.811,0.712,1,"acupuncture","Nr4a3"
0.000541564072676721,0.458589251340008,0.906,0.86,1,"acupuncture","Gadd45a"
0.000568030974108657,0.272063119690507,0.994,1,1,"acupuncture","Tmsb4x"
0.00057064427630588,0.289939826891368,0.389,0.234,1,"acupuncture","Tspan2"
0.000604712775711743,0.347225912747507,0.567,0.392,1,"acupuncture","Zyx"
0.000633695044450792,0.381984712685101,0.417,0.261,1,"acupuncture","Mrpl57"
0.000731314285729964,0.339972303152966,0.739,0.595,1,"acupuncture","Grb2"
0.000853777963817647,0.348525875485666,0.356,0.212,1,"acupuncture","Ubac2"
0.000911609032099466,0.405641572881581,0.328,0.189,1,"acupuncture","Uxs1"
0.00092536794767697,0.323921564379143,0.344,0.207,1,"acupuncture","Acat1"
0.000952947377242979,0.404093474462411,0.25,0.131,1,"acupuncture","Cyb561a3"
0.000959469321424908,0.715069526289918,0.506,0.342,1,"acupuncture","Dcn"
0.00112698928605934,0.285201718491451,0.672,0.514,1,"acupuncture","Adk"
0.00120564080345626,0.266674812249902,0.317,0.176,1,"acupuncture","Socs5"
0.00122861849956291,0.322403889407933,0.267,0.135,1,"acupuncture","Rassf2"
0.00128453116535666,0.72044553402172,0.494,0.329,1,"acupuncture","Col1a2"
0.00134072398724483,0.280717929103742,0.3,0.167,1,"acupuncture","Fibp"
0.00138876949846693,0.253335505049589,0.322,0.185,1,"acupuncture","H2aj"
0.00157031489084694,0.276954704204733,0.589,0.45,1,"acupuncture","Eif2s2"
0.00158556399742177,0.253602504892817,0.839,0.698,1,"acupuncture","Scpep1"
0.00174107652131604,0.429519571416668,0.861,0.757,1,"acupuncture","Rgs1"
0.00177832897568186,1.06446493845947,0.317,0.198,1,"acupuncture","RT1-Da"
0.00186138766864896,0.443163734887005,0.894,0.815,1,"acupuncture","Zfp36"
0.00191593953251559,0.288095443027953,0.544,0.41,1,"acupuncture","Hmgn1"
